txn_city_corrected_name,txn_city_lat,txn_city_long,txn_city
Mytishchi,55.9248562,37.7552338,. MYTISHCHIN
UNIT 101,33.1357,-117.2220905,.SU
Russia,61.52401,105.318756,A
A.G.KOLODISCH,-1.0,-1.0,A.G.KOLODISCH
A.G.SEMKOVO,-1.0,-1.0,A.G.SEMKOVO
A.G.ZHDANOVIC,-1.0,-1.0,A.G.ZHDANOVIC
9,40.7845385,-73.9569808,A.RU
Aeroport,54.569444,55.9016671,AAROPORT
Abakan,53.7175644,91.4293172,ABAKAN
Abakan,53.7175644,91.4293172,ABAKAN G
Abalak,58.12885929999999,68.596206,ABALAK
Sovetsky District,52.2829486,85.40882429999999,ABATSKIJ RAJO
Abatskoye,56.28836829999999,70.4382849,ABATSKOE
Abdrakhmanova,55.8725174,59.8310024,ABDRAKHMANOVO
Abdulino,53.6925567,53.6473989,ABDULINO
242,53.6860441,53.6443193,ABDULINO G
BBVA Compass Plaza,29.74623159999999,-95.4618162,ABERDEEN
Abganerovo,48.1376802,44.11011730000001,ABGANEROVO
Abganerovo,48.0807748,44.1801525,ABGANEROVO OK
Abinsk,44.8660778,38.1507729,ABINSK
Ablaevo,54.7661723,53.63801849999999,ABLAEVO
Abramtsevo,56.2147128,37.966186,ABRAMCEVO
Abramovka,52.0945867,54.2719083,ABRAMOVKA
Abrau-Dyurso,44.7013725,37.5999358,ABRAUDYURSO
3101,38.9305946,-77.0707808,ABTEI
Abu Dhabi,24.4966457,54.36849549999999,ABU DHABI
Abzanovo,51.8482114,56.76151429999999,ABZANOVO
82/34 строение 2,55.730567,37.6254763,ACHA
Achairskoye,54.6605388,73.8734655,ACHAIR
Achinsk,56.2360841,90.4903153,ACHINSK
Achinsk,56.2360841,90.4903153,ACHINSKIY
Achit,56.7964681,57.89844739999999,ACHIT
Princeton,40.3430942,-74.65507389999999,ACHITSKIY RN
Amur Oblast,54.60350649999999,127.4801721,AD AMUR
14,59.41783,24.8651508,AD TAVRIDA
"42, стр.1",55.6979041,37.35801540000001,ADA I
Adamovka,51.5217605,59.9418677,ADAMOVKA
Adeje,28.086852,-16.7330992,ADEJE
Adel'kino,54.1819041,53.9727336,ADELKINO
