iter	Passed	Remaining
0	19	19745
1	36	18111
2	54	18018
3	68	16994
4	83	16593
5	100	16731
6	116	16592
7	132	16475
8	149	16506
9	165	16386
10	180	16244
11	197	16246
12	215	16331
13	233	16430
14	247	16252
15	266	16362
16	285	16494
17	303	16568
18	321	16586
19	339	16623
20	355	16588
21	374	16641
22	390	16600
23	408	16610
24	425	16590
25	442	16572
26	459	16574
27	477	16576
28	492	16494
29	508	16425
30	525	16425
31	541	16392
32	558	16369
33	576	16392
34	595	16431
35	613	16422
36	629	16381
37	647	16384
38	663	16359
39	681	16346
40	697	16311
41	713	16277
42	733	16315
43	748	16257
44	765	16238
45	784	16259
46	799	16217
47	815	16181
48	832	16153
49	848	16113
50	864	16083
51	880	16054
52	896	16012
53	912	15988
54	929	15976
55	945	15941
56	963	15938
57	979	15905
58	996	15887
59	1012	15866
60	1028	15832
61	1044	15807
62	1061	15786
63	1076	15750
64	1092	15719
65	1110	15711
66	1124	15664
67	1140	15626
68	1156	15602
69	1172	15581
70	1190	15581
71	1208	15580
72	1223	15538
73	1238	15492
74	1260	15545
75	1277	15536
76	1298	15563
77	1314	15536
78	1332	15537
79	1348	15507
80	1364	15476
81	1380	15453
82	1396	15426
83	1412	15402
84	1429	15389
85	1444	15357
86	1461	15337
87	1477	15310
88	1492	15278
89	1509	15260
90	1525	15241
91	1542	15225
92	1558	15204
93	1575	15184
94	1591	15165
95	1609	15156
96	1626	15144
97	1642	15113
98	1657	15085
99	1672	15049
100	1688	15030
101	1706	15021
102	1724	15016
103	1735	14954
104	1752	14935
105	1769	14925
106	1785	14905
107	1801	14880
108	1819	14873
109	1837	14864
110	1852	14838
111	1869	14822
112	1885	14803
113	1902	14786
114	1917	14757
115	1936	14760
116	1954	14753
117	1973	14750
118	1990	14739
119	2008	14726
120	2024	14703
121	2039	14677
122	2056	14663
123	2062	14573
124	2079	14559
125	2096	14541
126	2112	14519
127	2128	14499
128	2143	14475
129	2159	14449
130	2174	14422
131	2191	14408
132	2209	14400
133	2226	14390
134	2243	14374
135	2259	14351
136	2275	14335
137	2290	14305
138	2306	14286
139	2322	14266
140	2341	14262
141	2358	14247
142	2374	14227
143	2390	14213
144	2408	14199
145	2426	14194
146	2443	14179
147	2460	14165
148	2474	14133
149	2490	14113
150	2507	14098
151	2524	14084
152	2540	14061
153	2555	14038
154	2573	14031
155	2590	14015
156	2606	13995
157	2622	13974
158	2639	13960
159	2655	13939
160	2672	13925
161	2688	13908
162	2705	13893
163	2723	13881
164	2742	13878
165	2759	13861
166	2774	13840
167	2791	13826
168	2811	13825
169	2828	13808
170	2843	13783
171	2858	13762
172	2876	13752
173	2892	13730
174	2909	13716
175	2926	13701
176	2944	13689
177	2959	13667
178	2975	13646
179	2991	13629
180	3009	13616
181	3026	13601
182	3043	13589
183	3061	13575
184	3077	13557
185	3094	13541
186	3110	13522
187	3126	13503
188	3143	13489
189	3160	13471
190	3176	13456
191	3195	13448
192	3212	13433
193	3228	13413
194	3245	13396
195	3261	13378
196	3278	13364
197	3292	13335
198	3306	13309
199	3323	13292
200	3341	13281
201	3355	13255
202	3372	13239
203	3389	13226
204	3404	13203
205	3418	13175
206	3435	13161
207	3452	13146
208	3465	13114
209	3481	13096
210	3499	13085
211	3516	13071
212	3532	13050
213	3548	13033
214	3565	13018
215	3581	12999
216	3597	12981
217	3614	12964
218	3632	12952
219	3648	12935
220	3665	12920
221	3682	12906
222	3700	12892
223	3716	12873
224	3730	12850
225	3747	12833
226	3765	12822
227	3782	12806
228	3799	12790
229	3815	12775
230	3832	12760
231	3850	12746
232	3865	12725
233	3882	12708
234	3897	12686
235	3917	12681
236	3933	12665
237	3949	12645
238	3966	12630
239	3981	12609
240	4000	12597
241	4017	12583
242	4031	12560
243	4050	12549
244	4069	12539
245	4086	12524
246	4102	12507
247	4119	12490
248	4136	12476
249	4154	12463
250	4171	12446
251	4187	12428
252	4204	12415
253	4220	12396
254	4238	12381
255	4256	12369
256	4273	12354
257	4291	12343
258	4308	12325
259	4325	12310
260	4342	12294
261	4358	12276
262	4375	12261
263	4393	12247
264	4408	12228
265	4427	12217
266	4442	12197
267	4461	12185
268	4476	12164
269	4492	12147
270	4509	12129
271	4527	12118
272	4545	12105
273	4561	12086
274	4579	12073
275	4596	12058
276	4615	12047
277	4634	12035
278	4651	12019
